axis,start_time,end_time,duration_sec,peak_resid,label
Axis #2,2022-10-18 03:22:59.142000+00:00,2022-10-18 03:22:59.142000+00:00,0.0,18.7182,WARNING
Axis #4,2022-10-18 03:23:02.924000+00:00,2022-10-18 03:23:02.924000+00:00,0.0,3.8112,WARNING
Axis #6,2022-10-18 03:23:06.706000+00:00,2022-10-18 03:23:06.706000+00:00,0.0,4.64,WARNING
Axis #7,2022-10-18 03:23:14.270000+00:00,2022-10-18 03:23:14.270000+00:00,0.0,4.2316,WARNING
Axis #6,2022-10-18 03:23:23.725000+00:00,2022-10-18 03:23:23.725000+00:00,0.0,3.7346,WARNING
Axis #6,2022-10-18 03:23:31.289000+00:00,2022-10-18 03:23:31.289000+00:00,0.0,4.607,WARNING
Axis #3,2022-10-18 03:23:35.071000+00:00,2022-10-18 03:23:35.071000+00:00,0.0,16.6535,WARNING
Axis #3,2022-10-18 03:23:42.635000+00:00,2022-10-18 03:23:42.635000+00:00,0.0,12.4106,WARNING
Axis #1,2022-10-18 03:24:12.891000+00:00,2022-10-18 03:24:12.891000+00:00,0.0,4.6995,WARNING
Axis #4,2022-10-18 03:24:31.801000+00:00,2022-10-18 03:24:31.801000+00:00,0.0,3.0486,WARNING
Axis #7,2022-10-18 03:24:35.583000+00:00,2022-10-18 03:24:35.583000+00:00,0.0,5.3418,WARNING
Axis #8,2022-10-18 03:24:39.365000+00:00,2022-10-18 03:24:39.365000+00:00,0.0,1.192,WARNING
Axis #6,2022-10-18 03:24:48.820000+00:00,2022-10-18 03:24:48.820000+00:00,0.0,4.774,WARNING
Axis #7,2022-10-18 03:24:50.711000+00:00,2022-10-18 03:24:50.711000+00:00,0.0,6.4502,WARNING
Axis #2,2022-10-18 03:24:56.384000+00:00,2022-10-18 03:24:56.384000+00:00,0.0,17.5631,WARNING
Axis #2,2022-10-18 03:25:05.839000+00:00,2022-10-18 03:25:07.730000+00:00,1.89,22.5153,WARNING
Axis #1,2022-10-18 03:25:11.512000+00:00,2022-10-18 03:25:11.512000+00:00,0.0,4.642,WARNING
Axis #7,2022-10-18 03:25:11.512000+00:00,2022-10-18 03:25:11.512000+00:00,0.0,4.6597,WARNING
Axis #7,2022-10-18 03:25:17.185000+00:00,2022-10-18 03:25:17.185000+00:00,0.0,5.6283,WARNING
Axis #8,2022-10-18 03:25:17.185000+00:00,2022-10-18 03:25:17.185000+00:00,0.0,0.8325,WARNING
Axis #8,2022-10-18 03:25:22.858000+00:00,2022-10-18 03:25:22.858000+00:00,0.0,0.8364,WARNING
Axis #8,2022-10-18 03:25:53.114000+00:00,2022-10-18 03:25:53.114000+00:00,0.0,0.8596,WARNING
Axis #7,2022-10-18 03:26:02.569000+00:00,2022-10-18 03:26:02.569000+00:00,0.0,6.0475,WARNING
Axis #5,2022-10-18 03:26:04.460000+00:00,2022-10-18 03:26:04.460000+00:00,0.0,4.3759,WARNING
Axis #6,2022-10-18 03:26:10.133000+00:00,2022-10-18 03:26:10.133000+00:00,0.0,5.1409,WARNING
Axis #7,2022-10-18 03:26:10.133000+00:00,2022-10-18 03:26:10.133000+00:00,0.0,5.6826,WARNING
Axis #3,2022-10-18 03:26:15.806000+00:00,2022-10-18 03:26:15.806000+00:00,0.0,11.344,WARNING
Axis #1,2022-10-18 03:26:27.152000+00:00,2022-10-18 03:26:27.152000+00:00,0.0,4.8067,WARNING
Axis #4,2022-10-18 03:26:46.062000+00:00,2022-10-18 03:26:46.062000+00:00,0.0,3.9658,WARNING
Axis #6,2022-10-18 03:26:47.953000+00:00,2022-10-18 03:26:47.953000+00:00,0.0,4.3412,WARNING
Axis #8,2022-10-18 03:26:49.844000+00:00,2022-10-18 03:26:49.844000+00:00,0.0,0.8437,WARNING
Axis #1,2022-10-18 03:26:51.735000+00:00,2022-10-18 03:26:51.735000+00:00,0.0,5.0388,WARNING
Axis #4,2022-10-18 03:26:59.299000+00:00,2022-10-18 03:26:59.299000+00:00,0.0,3.9259,WARNING
Axis #7,2022-10-18 03:27:20.100000+00:00,2022-10-18 03:27:20.100000+00:00,0.0,4.8655,WARNING
Axis #3,2022-10-18 03:27:23.882000+00:00,2022-10-18 03:27:23.882000+00:00,0.0,14.1693,WARNING
Axis #3,2022-10-18 03:27:35.228000+00:00,2022-10-18 03:27:35.228000+00:00,0.0,11.5744,WARNING
Axis #5,2022-10-18 03:27:39.010000+00:00,2022-10-18 03:27:39.010000+00:00,0.0,4.1907,WARNING
